匯入序號,捕捉日期時間,表格類別,資料頁碼,繫放員,捕捉代碼,環號,第1色環,第2色環,第3色環,物種名,年齡,年齡依據一,年齡依據二,性別,性別依據一,性別依據二,頭骨,泄殖腔,孵卵斑,脂肪量,體換羽,飛羽換羽,飛羽磨損,幼鳥羽衣,初級覆羽世代,次級覆羽世代,初級飛羽世代,次級飛羽世代,三級飛羽世代,尾羽世代,體羽世代,非羽區世代,自然翼長,最大翼長,尾長,體重,繫放狀態,網號,留置狀況,嘴長測量方法,嘴長,全頭長,跗蹠長,虹膜色,換羽模式P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,抽血數,恥骨寬,活動分類,註記,F62,繫放站,問題修正
,2019/2/17,回收,2,柯佳雯,R,K36655,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,O,當日回收,,湖本合作社,
,2019/2/17,回收,1,王李廉,R,K36655,Y,R,W,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,3,0,,,,,,,,,42,43,67,6.5,1,1,,3,13.2,28,19.3,,,,,,,,,,,,,,O,嘴基肉色疑似母鳥,,湖本合作社,
20159063,2015/4/6,新鳥用,2,林瑞興,N,K36656,Y,W,R,灰頭鷦鶯,1,S,,F,P,,6,5,3,1,1,N,3,0,,,,,,,,,42,44,57,7.9,1,,,3,13.3,28.3,20.6,,,,,,,,,,,,,,O,體換羽 肩羽少許 尾羽換羽T1=5 T2=4 T3-4=0 T5=1,,合作社,
20159064,2015/4/6,新鳥用,2,蘇美如,N,K36657,Y,O,O,灰頭鷦鶯,1,S,,M,P,I,6,1,0,0,0,N,3,0,,,,,,,,,44,46,76,7,1,,,3,13.1,28.2,19.6,,,,,,,,,,,,,,O,,,合作社,
20159065,2015/4/6,新鳥用,2,蘇美如,N,K36658,Y,O,LB,灰頭鷦鶯,1,S,,M,C,I,6,2,0,1,0,N,3,0,,,,,,,,,45,47,80,7.9,1,,,3,14.2,28.4,21.7,,,,,,,,,,,,,,O,23.72632  120.62266,,合作社,
20159074,2015/8/2,回收,1,林瑞興,R,K36658,Y,O,LB,灰頭鷦鶯,1,S,,M,I,,6,1,0,1,0,N,5,0,,,,,,,,,42.5,45,62,7.3,1,,,3,13.9,29,21.1,,,,,,,,,,,,,,O,T2-4=4(對稱) 由嘴色判斷性別 行為 23.72602 120.62215,,合作社,
20159066,2015/4/6,新鳥用,2,林瑞興,N,K36659,Y,R,R,灰頭鷦鶯,1,S,,F,C,I,6,5,1,2,1,S,3,0,,,,,,,,,42.5,45,56.5,7.8,1,,,3,13.3,28.8,19.8,,,,,,,,,,,,,,O,S8=0 尾羽換羽右51000 左54000  23.72632  120.62266,,合作社,
20159068,2015/5/1,新鳥用,2,林瑞興,N,K36664,Y,O,DP,灰頭鷦鶯,1,S,,M,C,,6,1,0,1,1,N,3,0,,,,,,,,,44,46,71,7.6,1,,,3,13.6,29.1,21.4,,,,,,,,,,,,,,O,腹部 羽毛換羽,,合作社,
2017W073,2017/2/26,回收,1,林穆明,R,K36664,Y,O,DP,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,2,N,2,0,,,,,,,,,45,46,,7.7,1,5,,3,13.9,29.1,19.8,,,,,,,,,,,,,,O,左腳中趾變形，尾羽脫落(體重判性別)嘴內全黑舌頭一點白,,合作社,
20159069,2015/5/1,新鳥用,2,林瑞興,N,K36665,Y,O,M,灰頭鷦鶯,1,S,,F,C,,6,5,0,2,0,N,3,0,,,,,,,,,43.5,45,57.5,7.3,1,,,3,13.8,28.1,19.8,,,,,,,,,,,,,,O,T:54400,,合作社,
20159072,2015/5/1,新鳥用,3,林瑞興,N,K36668,Y,O,B,灰頭鷦鶯,1,S,,M,C,,6,1,0,1,0,N,3,0,,,,,,,,,44,46.5,60,7.6,1,,,3,13.9,29.7,21,,,,,,,,,,,,,,O,T:54444,,合作社,
2017W074,2017/2/26,回收,1,梅允文,R,K36668,Y,O,B,灰頭鷦鶯,1,S,,,,,6,0,0,0,2,N,2,0,,,,,,,,,45,46.5,77,,1,4,,,,,,,,,,,,,,,,,,,O,頭頂換羽嚴重，解鳥過久狀況不佳,,合作社,
20159078,2015/9/5,新鳥用,1,陳秋美,N,K36671,DG,Y,M,灰頭鷦鶯,2,S,,U,,,2,0,0,1,0,N,1,2,,,,,,,,,40,41,,6.1,1,4,,3,13,28.4,20.7,,,,,,,,,,,,,,O,尾羽成長中,,合作社,第2色環R更改為Y
20159150,2015/11/29,回收,2,蘇美如,R,K36671,DG,Y,M,灰頭鷦鶯,0,,,M,I,,6,0,0,1,1,N,1,0,,,,,,,,,42,44,72,6.8,1,14,,,,,,,,,,,,,,,,,,,O,嘴內不黑 嘴基肉色,,合作社,褐頭鷦鶯更改為灰頭鷦鶯
20159087,2015/9/6,新鳥用,1,蘇美如,N,K36676,Y,M,R,灰頭鷦鶯,2,S,,U,,,3,0,0,1,0,A,3,9,,,,,,,,,40,42,,6.9,1,6,,3,14.2,28.3,22.2,,,,,,,,,,,,,,O,尾羽成長中,,合作社,
20159142,2015/11/29,回收,2,蘇美如,R,K36676,Y,M,R,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,44,45.5,73.5,7,1,38,,,,,,,,,,,,,,,,,,,O,嘴內不黑 腹部換羽,,合作社,
20159089,2015/9/6,新鳥用,1,林瑞興,N,K36678,Y,M,O,灰頭鷦鶯,1,S,,F,P,,6,0,4,1,1,S,3,0,,,,,,,,,41,44,56.5,6.6,1,7,,3,13.2,28.5,20.5,,,,,,,,,,,,,,O,虹膜欖綠 褐色,,合作社,
20159143,2015/11/29,回收,2,林瑞興,R,K36678,Y,M,O,灰頭鷦鶯,0,,,U,,,6,0,0,2,0,N,1,0,,,,,,,,,43.5,44.5,68.5,7,1,22,,,,,,,,,,,,,,,,,,,O,嘴內不黑 F?,,合作社,
2016T174,2016/12/4,回收,1,柯伶樺,R,K36678,Y,M,O,灰頭鷦鶯,0,,,U,,,6,0,0,1,1,N,1,0,,,,,,,,,43,46,,7.7,1,5,,,,,,,,,,,,,,,,,,,T,尾羽有羽鞘,,大埔溪,
2016R148,2016/3/6,回收,2,柯佳雯,R,K36678,Y,M,O,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,2,N,2,0,,,,,,,,,43.5,45,,7.7,1,22,,3,12.7,28,20.5,,,,,,,,,,,,,,O,中央尾羽換羽,,湖本合作社,
20159092,2015/9/6,新鳥用,1,蘇美如,N,K36679,Y,M,LB,灰頭鷦鶯,2,S,,U,,,1,0,0,1,0,N,2,9,,,,,,,,,40,41,52,6.2,1,7,,3,12.7,27.5,19.3,,,,,,,,,,,,,,O,破損嚴重,,合作社,
20159106,2015/11/1,新鳥用,3,林瑞興,N,K36684,O,M,R,灰頭鷦鶯,1,S,,U,,,6,0,0,1,3,S,0,0,,,,,,,,,45,47.5,,7.2,1,4,,3,13.3,29.1,21.2,,5,5,5,5,5,5,5,4,4,4,,,O,M? 嘴內側黑色退色中 23.72754  120.61845,,合作社,
2016R025,2016/3/6,回收,1,林幸愉,R,K36684,O,M,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,4,N,2,0,,,,,,,,,45,46,,8,1,33,,,,,,,,,,,,,,,,,,,O,,,湖本合作社,
2016R029,2016/3/6,回收,2,林幸愉,R,K36684,O,M,R,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,,,,,,,O,當日回收,,湖本合作社,
,2019/12/1,回收,5,劉佩珊,R,K36684,O,M,R,灰頭鷦鶯,0,,,M,I,,6,0,0,0,0,N,1,0,,,,,,,,,45.5,47,80,7.2,1,2,,3,14,29.1,21.1,123A,,,,,,,,,,,,,T,,,大埔溪,
20159109,2015/11/1,新鳥用,3,林瑞興,N,K36687,O,M,DP,灰頭鷦鶯,1,S,,U,,,6,0,0,0,3,S,1,0,,,,,,,,,45,47.5,,7,1,5,,3,13.4,29,21.2,,5,5,5,5,5,5,4,4,3,1,,,O,M?嘴內側灰黑色 右眼盲 色環與K36694相同  23.72767  120.618,,合作社,註記已清楚說明
20159118,2015/11/1,新鳥用,3,林瑞興,N,K36693,O,M,LB,灰頭鷦鶯,2,S,,F,I,,4,0,0,1,1,N,1,0,,,,,,,,,44,45.5,,6.6,1,6,,3,13,28.3,20.3,,,,,,,,,,,,,,O,眉斑長眼先不黑 嘴內側完全不黑 23.7277  120.61747,,合作社,
20159119,2015/11/1,新鳥用,3,林瑞興,N,K36694,O,M,DP,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,S,1,0,,,,,,,,,44,46,,6.9,1,6,,3,13.3,29,20.2,,5,5,5,5,5,5,5,4,2,1,,,O,眉斑長眼先不黑 嘴內側完全不黑 色環與K36687相同  23.7277  120.61747,,合作社,註記已清楚說明
2016T254,2016/12/11,回收,1,蘇美如,R,K36694,O,M,DP,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,2,0,,,,,,,,,42.5,45,69,6.8,1,8,,,,,,,,,,,,,,,,,,,T,,,大埔溪,
20159120,2015/11/1,新鳥用,3,蘇美如,N,K36695,O,M,W,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,4,S,1,0,,,,,,,,,44,46,,7.5,1,2,,3,13.7,28.7,20.9,,5,5,5,5,5,5,5,4,4,4,,,O,23.7271   120.61924,,合作社,
2016R135,2016/3/6,回收,1,林瑞興,R,K36695,O,M,W,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,4,0,,,,,,,,,44,47,76,7.9,1,8,,,,,,,,,,,,,,,,,,,O,,,湖本合作社,
20159121,2015/11/1,新鳥用,4,梅允文,N,K36696,O,R,LB,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,3,S,1,0,,,,,,,,,43.5,45,,6.8,1,5,,3,12.9,27.5,20.2,,5,5,5,5,5,5,4,4,2,0,,,O,23.72767   120.618,,合作社,
20140986,2014/3/23,新鳥用,1,簡安祿,N,K37822,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,3,N,1,0,,,,,,,,,45,47,68,7.9,3,10,,3,14.6,29,23.9,132D,,,,,,,,,,,,7,M,採禽流感糞便檢體,,鳳山水庫,
20160776,2016/3/27,新鳥用,1,林佩蓉,N,K38122,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,0,N,1,0,,,,,,,,,42.5,43.5,,7.5,3,4,,3,13,28.5,20.7,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160934,2016/5/15,回收,4,柯佳雯,R,K38122,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,3,0,,,,,,,,,42,44,66.5,7.5,3,3,,3,14.1,28.8,20.8,,,,,,,,,,,,,,M,,,關渡,
2017W013,2017/1/22,回收,1,林穆明,R,K38122,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,3,0,N,2,9,,,,,,,,,42,44.5,70,7.7,3,1,,3,14.1,28.9,20.2,,,,,,,,,,,,,,O,,,關渡(冬),
2017W084,2017/10/29,回收,1,林佩蓉,R,K38122,W,W,DB,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,0,0,,,,,,,,,39,40,72,7.5,1,1,,,,,,,,,,,,,,,,,,,O,,,關渡(冬),
20160786,2016/3/27,新鳥用,1,林佩蓉,N,K38125,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,1,0,,,,,,,,,45,46,,7.5,3,9,,3,12.5,28.8,21.9,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
2016T066,2016/11/20,回收,1,蘇平和,R,K38125,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,2,0,N,1,0,,,,,,,,,45,47,76,7.2,3,3,,,,,,,,,,,,,,,,,,,O,,,關渡(冬),
20160795,2016/3/27,新鳥用,2,林佩蓉,N,K38133,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,1,0,,,,,,,,,,41.5,,7.5,3,3,,3,14,28.5,21,,,,,,,,,,,,,,M,,,關渡,
20160815,2016/3/27,回收,1,林瑞興,R,K38133,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,M,當日回收,,關渡,
2016T002,2016/10/2,回收,1,張智偉,R,K38133,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,T,,,關渡(冬),
20180068,2018/5/13,回收,3,張靖,R,K38133,Y,M,R,灰頭鷦鶯,1,S,,M,I,,6,1,0,0,0,N,2,0,,,,,,,,,45,46,80,7.5,1,3,,3,13,28.1,20.9,,,,,,,,,,,,,,M,,,關渡,
20180153,2018/7/1,回收,6,沈妤蓮,R,K38133,Y,M,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,2,0,,,,,,,,,45,46,80,7.6,1,8,,3,14.3,29.2,21.8,,,,,,,,,,,,,,M,,,關渡,
20160796,2016/3/27,新鳥用,2,柯佳雯,N,K38134,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,2,1,N,2,0,,,,,,,,,45,46.5,,7,3,3,,,,,,,,,,,,,,,,,,,M,尾羽掉落,,關渡,
20170957,2017/3/19,回收,2,柯佳雯,R,K38134,W,R,DG,灰頭鷦鶯,1,S,,M,I,,6,0,0,2,2,N,2,0,,,,,,,,,45,47,,7.3,1,5,,3,12.8,28.1,20.9,,,,,,,,,,,,,,M,其他：尾羽換羽，不測量。,,關渡,與K38162相同色環
20160803,2016/3/27,新鳥用,2,張靖,N,K38137,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,3,N,1,0,,,,,,,,,42,43,,7,3,4,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160804,2016/3/27,新鳥用,2,柯佳雯,N,K38138,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,3,N,2,0,,,,,,,,,43.5,45,,7.3,3,1,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160806,2016/3/27,新鳥用,2,柯佳雯,N,K38140,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,3,N,2,0,,,,,,,,,42,44.5,,7.5,3,7,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160914,2016/4/16,回收,3,林瑞興,R,K38140,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,3,1,N,3,0,,,,,,,,,42.5,44.5,64,7.3,3,4,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160993,2016/6/26,回收,6,林佩蓉,R,K38140,,,,灰頭鷦鶯,1,S,,F,C,I,6,5,2,1,0,N,2,0,,,,,,,,,43,44,,7.5,3,4,,,,,,,,,,,,,,,,,,,M,中央尾羽脫落,,關渡,
20170948,2017/3/19,回收,2,林幸愉,R,K38140,W,R,O,灰頭鷦鶯,1,S,,U,,,6,0,0,2,2,N,1,0,,,,,,,,,42,43,,7.5,1,3,,3,11.4,28.5,20.6,,,,,,,,,,,,,,M,,,關渡,
20171109,2017/7/9,回收,8,葉玲瑤,R,K38140,W,R,O,灰頭鷦鶯,1,S,,F,I,C,6,5,2,0,0,N,2,0,,,,,,,,,43,44,50,7,1,3,,3,13.1,28.6,20,,,,,,,,,,,,,,M,,,關渡,
20160807,2016/3/27,新鳥用,2,蘇美如,N,K38141,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,3,N,3,0,,,,,,,,,43,44,73,7,3,8,,,,,,,,,,,,,,,,,,,M,,,關渡,
,2019/4/14,回收,3,沈妤蓮,R,K38141,Y,O,DB,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,1,0,,,,,,,,,44,45,72,7,1,7,,3,14,28.3,21.4,123B,,,,,,,,,,,1,,M,採血編號no.14,,關渡,
20160808,2016/3/27,新鳥用,3,蘇美如,N,K38142,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,3,N,3,0,,,,,,,,,43,45,75,7.5,3,7,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160915,2016/4/16,回收,3,林瑞興,R,K38142,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,2,1,N,2,0,,,,,,,,,44,46,71.2,7.5,3,4,,,,,,,,,,,,,,,,,,,M,尾羽是冬羽,,關渡,
20160949,2016/5/15,回收,5,林佩蓉,R,K38142,,,,灰頭鷦鶯,1,S,,M,I,P,6,0,1,1,1,N,1,0,,,,,,,,,44.5,45.5,75,7,3,3,,3,13.7,28.8,21.1,,,,,,,,,,,,,,M,,,關渡,
20161098,2016/8/21,回收,8,柯佳雯,R,K38142,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,2,S,4,0,,,,,,,,,42,44,61.5,7.5,3,4,,,,,,,2,1,0,0,0,0,0,0,0,0,,,M,,,關渡,
20170949,2017/3/19,回收,2,王李廉,R,K38142,W,Y,O,灰頭鷦鶯,1,S,,M,I,,,0,0,0,2,N,2,0,,,,,,,,,43,44,,7.8,1,3,,3,13.5,28.4,20,,,,,,,,,,,,,,M,,,關渡,
20160812,2016/3/27,新鳥用,3,林瑞興,N,K38144,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,2,0,,,,,,,,,43,45,68,7.7,3,9,,3,13.2,29.1,20.5,,,,,,,,,,,,,,M,,,關渡,
20160848,2016/3/27,回收,1,,R,K38144,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,M,當日回收,,關渡,
20160922,2016/4/16,回收,4,林瑞興,R,K38144,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,3,2,N,2,0,,,,,,,,,42.5,44.5,67,7.9,3,9,,,,,,,,,,,,,,,,,,,M,,,關渡,
20171015,2017/4/30,回收,5,沈妤蓮,R,K38144,W,R,R,灰頭鷦鶯,1,S,,F,I,,6,0,2,0,0,N,0,0,,,,,,,,,42,44,,7.9,1,9,,3,11.6,29.1,20.3,,,,,,,,,,,,,,M,其他：尾羽換羽，不測量。,,關渡,
2017W068,2017/9/17,回收,1,張智偉,R,K38144,W,R,R,灰頭鷦鶯,1,S,,F,O,,6,0,0,0,3,S,4,0,,,,,,,,,43.5,44,57,7.5,1,4,,3,14.8,29.7,20.4,,5,5,5,5,5,3,0,0,0,0,,,O,,,關渡(冬),
20160810,2016/3/27,新鳥用,3,蘇美如,N,K38145,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,4,N,3,0,,,,,,,,,45,47,79,7.9,3,4,,3,14.3,29.5,20.7,,,,,,,,,,,,,,M,,,關渡,
20160904,2016/4/16,回收,3,柯佳雯,R,K38145,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,2,0,,,,,,,,,45.5,47,80,8,3,7,,3,14.7,29.5,20.6,,,,,,,,,,,,,,M,,,關渡,
20160813,2016/3/27,新鳥用,3,林穆明,N,K38146,,,,灰頭鷦鶯,1,S,,F,I,,6,0,1,2,3,N,1,0,,,,,,,,,45,45.5,67,7.5,5,10,L,3,13.5,28.8,20.8,,,,,,,,,,,,,,M,解鳥時大腿骨折受傷帶回安置(經獸醫檢查),,關渡,
20160818,2016/3/27,新鳥用,3,林瑞興,N,K38149,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,3,4,N,2,0,,,,,,,,,42,43.5,67,7.5,3,1,,,,,,,,,,,,,,,,,,,M,,,關渡,
2017W057,2017/2/19,回收,2,王李廉,R,K38149,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,42,44,,7.5,3,1,,3,14.8,28.2,20,,,,,,,,,,,,,,O,其他：尾羽換羽，不量。/性別可能為F，不確定。,,關渡(冬),
20160819,2016/3/27,新鳥用,3,柯佳雯,N,K38150,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,3,N,1,0,,,,,,,,,41,42.5,62,,3,2,,,,,,,,,,,,,,,,,,,M,體重不正確,,關渡,
20171050,2017/5/21,回收,6,柯佳雯,R,K38150,W,Y,DP,灰頭鷦鶯,1,S,,F,I,,6,0,4,2,0,N,3,0,,,,,,,,,42,43.5,,8,1,7,,3,13.6,28.7,20.8,,,,,,,,,,,,,,M,其他：尾羽磨損嚴重，不測量。,,關渡,
20171117,2017/7/9,回收,8,林冠伶,R,K38150,W,Y,DP,灰頭鷦鶯,1,S,,F,I,,6,1,2,2,1,N,2,0,,,,,,,,,41,42,54,7.5,1,4,,3,15,27.2,21,,,,,,,,,,,,,,M,,,關渡,
20180038,2018/4/1,回收,2,周暉堡,R,K38150,W,Y,DP,灰頭鷦鶯,1,S,,F,I,,6,0,1,0,3,N,2,0,,,,,,,,,42,43,62,7.5,1,4,,3,13.8,28.6,20.7,,,,,,,,,,,,,,M,,,關渡,
20180103,2018/6/10,回收,4,張智偉,R,K38150,W,Y,DP,灰頭鷦鶯,1,S,,F,C,I,6,5,1,0,0,N,1,0,,,,,,,,,41,43,58,9,1,8,,3,13.8,28.7,20.3,,,,,,,,,,,,,,M,,,關渡,環號K38450更改為K38150
,2019/4/14,回收,5,張瀚柏,R,K38150,W,Y,DB,灰頭鷦鶯,1,S,,F,I,C,6,5,2,1,0,N,1,0,,,,,,,,,41,43,61,7,1,3,,3,13.3,28.7,20.6,123B,,,,,,,,,,,1,,M,採血編號no.25,,關渡,
20160820,2016/3/27,新鳥用,3,林瑞興,N,K38151,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,2,4,N,2,0,,,,,,,,,44.5,46,73.5,8,3,1,,,,,,,,,,,,,,,,,,,M,,,關渡,
20161102,2016/8/21,回收,8,林佩蓉,R,K38151,,,,灰頭鷦鶯,1,S,,M,I,,6,0,5,1,0,N,3,0,,,,,,,,,42,43,60,7,3,1,,3,14.4,28.3,21.1,,,,,,,,,,,,,,M,,,關渡,
20160822,2016/3/27,新鳥用,4,張靖,N,K38153,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,3,N,2,0,,,,,,,,,45,45.5,,7.5,3,9,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160916,2016/4/16,回收,3,林佩蓉,R,K38153,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,1,0,,,,,,,,,44,45,,7,3,4,,,,,,,,,,,,,,,,,,,M,尾羽換羽,,關渡,
20160823,2016/3/27,新鳥用,4,蘇美如,N,K38154,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,3,0,,,,,,,,,45,47,74,7,3,4,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160825,2016/3/27,新鳥用,4,柯佳雯,N,K38156,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,2,N,2,0,,,,,,,,,44,46,,7.5,3,2,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20160917,2016/4/16,回收,3,林穆明,R,K38156,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,2,N,2,0,,,,,,,,,44.5,46.5,77,8,3,2,,3,13.6,29.5,21.6,,,,,,,,,,,,,,M,,,關渡,
20160831,2016/3/27,新鳥用,5,柯佳雯,N,K38162,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,2,N,2,0,,,,,,,,,43.5,45,70,7.7,3,1,,3,14.8,28.5,20.1,,,,,,,,,,,,,,M,,,關渡,
20160959,2016/6/5,回收,5,柯佳雯,R,K38162,,,,灰頭鷦鶯,1,S,,F,I,,6,5,2,0,0,N,3,0,,,,,,,,,43.5,45,69.5,7.5,3,7,,3,14.4,29.3,20.1,,,,,,,,,,,,,,M,,,關渡,
20171006,2017/4/30,回收,4,沈妤蓮,R,K38162,W,R,DG,灰頭鷦鶯,1,S,,F,I,,6,0,1,1,0,N,0,0,,,,,,,,,43,46,67,7.6,1,7,,3,12.3,29,19.2,,,,,,,,,,,,,,M,與K38134相同色環,,關渡,原環號K38462更改為K38162 ，增加註記
20171099,2017/7/9,回收,8,林冠伶,R,K38162,W,R,DG,灰頭鷦鶯,1,S,,F,I,,6,1,4,2,1,N,3,0,,,,,,,,,42,44,53,8,1,7,,3,14.1,28.5,20.9,,,,,,,,,,,,,,M,與K38134相同色環,,關渡,增加註記
20180069,2018/5/13,回收,3,林冠伶,R,K38162,W,R,DG,灰頭鷦鶯,1,S,,F,I,,6,0,1,0,0,N,2,0,,,,,,,,,44,45,71,9,1,7,,3,13.5,28.2,21.2,,,,,,,,,,,,,,M,與K38134相同色環,,關渡,增加註記
,2019/4/14,回收,3,梅允文,R,K38162,W,R,DG,灰頭鷦鶯,1,S,,F,C,,6,5,2,0,0,N,3,0,,,,,,,,,43,45,67,8,1,7,,3,14,29.2,19,36,,,,,,,,,,,1,,M,採血編號no.16,,關渡,
20160832,2016/3/27,新鳥用,4,蘇美如,N,K38163,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,2,N,3,0,,,,,,,,,43,44.5,65,7.6,3,1,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160844,2016/3/27,新鳥用,4,蘇美如,N,K38164,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,4,N,3,0,,,,,,,,,44,44.5,70,6.5,3,10,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160918,2016/4/16,回收,3,林穆明,R,K38164,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,2,0,N,1,0,,,,,,,,,43,44,71,7.5,3,10,,3,13.6,28.5,21,,,,,,,,,,,,,,M,尾羽尖型,,關渡,
20160845,2016/3/27,新鳥用,5,張靖,N,K38165,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,1,N,1,0,,,,,,,,,43,44,67,6.5,3,10,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160837,2016/3/27,新鳥用,5,柯佳雯,N,K38170,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,3,N,3,0,,,,,,,,,41.5,42,,8.2,3,9,,3,13.4,28.4,20.2,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
2016T108,2016/11/20,回收,1,沈妤蓮,R,K38170,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,0,0,,,,,,,,,42.2,44.1,61.5,7,3,3,,,,,,,,,,,,,,,,,,,O,,,關渡(冬),
20160852,2016/3/27,新鳥用,6,林瑞興,N,K38172,,,,灰頭鷦鶯,1,S,,U,,,6,0,0,1,4,N,2,0,,,,,,,,,43.5,45,,7.5,3,10,,,,,,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
2016T144,2016/12/18,回收,1,林穆明,R,K38172,,,,灰頭鷦鶯,0,,,U,,,6,0,0,2,0,N,1,0,,,,,,,,,45,47,77,7.2,3,1,,3,13.7,28.9,20,,,,,,,,,,,,,,O,,,關渡(冬),
20160853,2016/3/27,新鳥用,6,張靖,N,K38173,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,4,N,1,0,,,,,,,,,42,43,,7.5,3,7,,,,,,,,,,,,,,,,,,,M,尾羽掉落,,關渡,
20160950,2016/5/15,回收,5,柯佳雯,R,K38173,,,,灰頭鷦鶯,1,S,,F,I,,6,0,2,3,0,N,2,0,,,,,,,,,42,44,49.5,8,3,8,,3,13.2,27.7,20.4,,,,,,,,,,,,,,M,,,關渡,
20171206,2017/8/20,回收,9,馮孟婕,R,K38173,W,DG,O,灰頭鷦鶯,1,S,,F,I,B,6,0,4,0,3,S,2,0,,,,,,,,,41,42,55,7.5,1,4,,3,14.9,28.8,20.2,,3,3,0,0,0,0,0,0,0,0,,,,,,關渡,
20160865,2016/4/16,新鳥用,7,林佩蓉,N,K38176,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,0,N,1,0,,,,,,,,,44,45,65,6.5,3,2,,,,,,,,,,,,,,,,,,,M,,,關渡,
